"notation","title","description","id","title_en","description_en"
"1","Hör-/Hörsehverstehen","Die Schülerinnen und Schüler können authentische Hör- und Hörsehtexte verstehen, sofern repräsentative Varietäten der Zielsprache gesprochen werden. Sie können dabei Hauptaussagen und Einzelinformationen entnehmen und diese Informationen in thematische Zusammenhänge einordnen.","y9x",,
"1.1","Grundlegendes Niveau","Die Schülerinnen und Schüler können","d6b",,
"1.1.1","einem Hör- bzw. Hörsehtext die Hauptaussagen oder Einzelinformationen entsprechend der Hör- bzw. Hörseh-Absicht entnehmen","","z9c",,
"1.1.2","textinterne Informationen und textexternes Wissen kombinieren","","a4b",,
"1.1.3","in Abhängigkeit von der jeweiligen Hör-/Hörseh-Absicht Rezeptionsstrategien anwenden","","r5b",,
"1.1.4","angemessene Strategien zur Lösung von Verständnisproblemen einsetzen","","q2f",,
"1.1.5","Stimmungen und Einstellungen der Sprechenden erfassen","","x9a",,
"1.1.6","gehörte und gesehene Informationen aufeinander beziehen und in ihrem kulturellen Zusammenhang verstehen","","t5a",,
"1.2","Erhöhtes Niveau","Die Schülerinnen und Schüler können darüber hinaus","s4q",,
"1.2.1","(Englisch: komplexe) Hör- und Hörsehtexte auch zu wenig vertrauten Themen erschließen","","f6h",,
"1.2.2","implizite Informationen erkennen und einordnen und deren Wirkung interpretieren","","g4b",,
"1.2.3","implizite Einstellungen oder Beziehungen zwischen Sprechenden erfassen","","h2y",,
"1.2.4","Hör- und Hörsehtexte (Französisch: im Wesentlichen) verstehen, auch wenn schnell gesprochen oder nicht Standardsprache verwendet wird","","s7t",,
"1.2.5","(Englisch) einem Hör- bzw. Hörsehtext die Hauptaussagen oder Einzelinformationen entsprechend der Hör- bzw. Hörseh-Absicht entnehmen, auch wenn Hintergrundgeräusche oder die Art der Wiedergabe das Verstehen beeinflussen","","a9f",,
"2","Leseverstehen","Die Schülerinnen und Schüler können authentische Texte auch zu abstrakteren Themen verstehen. Sie können ein umfassendes Textverständnis aufbauen, indem sie Hauptaussagen und Einzelinformationen entnehmen, diese Informationen in thematische Zusammenhänge einordnen, gezielt textinterne Informationen und externes Wissen heranziehen und auch wichtige implizite Aussagen erschließen.","d2t",,
"2.1","Grundlegendes Niveau","Die Schülerinnen und Schüler können","d2x",,
"2.1.1","Texte unterschiedlicher Textsorten und Entstehungszeiten erschließen","","t2d",,
"2.1.2","explizite und implizite Aussagen von Texten sowie deren Wirkungspotenzial erkennen und einschätzen","","c4a",,
"2.1.3","Texte und Textteile mit Bezug auf ein spezifisches Leseziel auswählen","","f7y",,
"2.1.4","der Leseabsicht entsprechende Rezeptionsstrategien selbstständig anwenden","","f3q",,
"2.1.5","die Hauptaussagen und deren unterstützende sprachliche und / oder inhaltliche Einzelinformationen erfassen","","p2v",,
"2.1.6","die inhaltliche Struktur eines Textes nachvollziehen und Gestaltungsmerkmale in ihrer Wirkung erfassen","","h2a",,
"2.1.7","die Absicht und Wirkung von Texten in deren zielkulturellen Zusammenhängen erkennen","","z5d",,
"2.1.8","mehrfach kodierte Texte und Textteile, z. B. in Werbeanzeigen, Plakaten, Flugblättern, aufeinander beziehen und in ihrer Einzel- und Gesamtaussage erkennen, analysieren und bewerten","","c3g",,
"2.2","Erhöhtes Niveau","Die Schülerinnen und Schüler können darüber hinaus","a3h",,
"2.2.1","selbstständig (Englisch: komplexe) Texte unterschiedlicher Textsorten und Entstehungszeiten auch zu wenig vertrauten Themen erschließen","","q6s",,
"2.2.2","die inhaltliche Struktur von komplexen Texten erkennen und dabei Gestaltungsmerkmale in ihrer Funktion und Wirkung analysieren","","z7r",,
"2.2.3","die Wirkung von Texten in deren zielkulturellen Zusammenhängen analysieren","","r5x",,
"3"," Sprechen","""""An Gesprächen teilnehmen\n\nDie Schülerinnen und Schüler können sich weitgehend flüssig, sprachlich korrekt und adressatengerecht sowie situationsangemessen an Gesprächen beteiligen. Sie sind bereit und in der Lage, in einer gegebenen Sprechsituation zu interagieren, auch wenn abstrakte und in einzelnen Fällen weniger vertraute Themen behandelt werden.""""","b7f",,
"3.1","Grundlegendes Niveau","Die Schülerinnen und Schüler können","u2d",,
"3.1.1","ein adressatengerechtes und situationsangemessenes Gespräch in der Fremdsprache führen","","d6y",,
"3.1.2","verbale und nicht-verbale Gesprächskonventionen situationsangemessen anwenden, um z. B. ein Gespräch oder eine Diskussion zu eröffnen, auf Aussagen anderer Sprecher einzugehen, sich auf Gesprächspartner einzustellen und ein Gespräch zu beenden","","d9d",,
"3.1.3","angemessene kommunikative Strategien bewusst einsetzen, um mit Nichtverstehen und Missverständnissen umzugehen","","x5r",,
"3.1.4","sich zu vertrauten Themen aktiv an Diskussionen beteiligen sowie eigene Positionen vertreten","","h4g",,
"3.1.5","in informellen und formellen Situationen persönliche Meinungen unter Beachtung kultureller Gesprächskonventionen ausdrücken und begründen","","x9u",,
"3.1.6","zu aktuell bedeutsamen Sachverhalten in Gesprächen oder Diskussionen Stellung nehmen","","e9h",,
"3.2","Erhöhtes Niveau","Die Schülerinnen und Schüler können darüber hinaus","h6e",,
"3.2.1","sich an Diskussionen zu weniger vertrauten Themen aktiv beteiligen, auf differenzierte Äußerungen anderer angemessen reagieren sowie eigene Positionen vertreten","","e3q",,
"3.2.2","ein adressatengerechtes und situationsangemessenes Gespräch in der Fremdsprache führen und sich dabei spontan und weitgehend flüssig äußern","","c9g",,
"3.2.3","zu aktuellen wie generell bedeutsamen Sachverhalten Stellung nehmen und in Diskussionen ggf. verschiedene Positionen sprachlich differenziert formulieren","","f5y",,
"4","Schreiben","Die Schülerinnen und Schüler können Texte zu einem breiten Spektrum von Themen des fachlichen und persönlichen Interesses adressatengerecht und textsortenspezifisch verfassen. Sie verfügen über Techniken und Strategien des formellen, informellen und kreativen Schreibens.","u9g",,
"4.1","Grundlegendes Niveau","Die Schülerinnen und Schüler können","g2t",,
"4.1.1","Schreibprozesse selbstständig planen, umsetzen und reflektieren","","s2y",,
"4.1.2","Texte in formeller oder persönlich-informeller Sprache verfassen und dabei wesentliche Konventionen der jeweiligen Textsorten beachten","","f5x",,
"4.1.3","Informationen strukturiert und kohärent vermitteln","","a2z",,
"4.1.4","sich argumentativ mit unterschiedlichen Positionen auseinandersetzen","","s6h",,
"4.1.5","Texte zu literarischen und nicht-literarischen Textvorlagen verfassen","","v5c",,
"4.1.6","eigene kreative Texte verfassen, ggf. in Anbindung an eine Textvorlage","","z2y",,
"4.1.7","Textsorten zielorientiert in eigenen Textproduktionen situationsangemessen verwenden","","x9z",,
"4.1.8","diskontinuierliche Vorlagen in kontinuierliche Texte umschreiben","","d4h",,
"4.2","Erhöhtes Niveau","Die Schülerinnen und Schüler können darüber hinaus","t4b",,
"4.2.1","aus einem breiten Spektrum eine Textsorte auswählen, in eigenen Textproduktionen situationsangemessen und adressatengerecht umsetzen und dabei die Konventionen der jeweiligen Textsorte beachten","","z4s",,
"4.2.2","bei der Textgestaltung funktionale Gesichtspunkte, z. B. Leserlenkung und Fokussierung, beachten","","v2s",,
"4.2.3","literarische und nicht-literarische Textvorlagen transformieren, z. B. einen historischen Text in einen modernen Text umwandeln, einen Text mit fachsprachlichen Elementen für eine andere Zielgruppe adaptieren","","v4c",,
"5","Sprachmittlung","Die Schülerinnen und Schüler können – auch unter Verwendung von Hilfsmitteln und Strategien – wesentliche Inhalte authentischer mündlicher oder schriftlicher Texte, auch zu weniger vertrauten Themen, in der jeweils anderen Sprache sowohl schriftlich als auch mündlich adressatengerecht und situationsangemessen für einen bestimmten Zweck wiedergeben.","d5d",,
"5.1","Grundlegendes Niveau","Die Schülerinnen und Schüler können mündlich und schriftlicn","d3q",,
"5.1.1","Informationen adressatengerecht und situationsangemessen in der jeweils anderen Sprache zusammenfassend wiedergeben","","e2q",,
"5.1.2","interkulturelle Kompetenz und entsprechende kommunikative Strategien einsetzen, um adressatenrelevante Inhalte und Absichten in der jeweils anderen Sprache zu vermitteln","","q6v",,
"5.1.3","bei der Vermittlung von Informationen gegebenenfalls auf Nachfragen eingehen","","t7v",,
"5.1.4","Inhalte unter Nutzung von Hilfsmitteln, wie z. B. Wörterbüchern, durch Kompensationsstrategien, wie z. B. Paraphrasieren, und gegebenenfalls Nutzung von Gestik und Mimik adressatengerecht und situationsangemessen sinngemäß übertragen","","p6t",,
"5.2","Erhöhtes Niveau","Die Schülerinnen und Schüler können darüber hinaus","t5d",,
"5.2.1","für das Verstehen erforderliche Erläuterungen hinzufügen","","a3d",,
"5.2.2","zur Bewältigung der Sprachmittlung kreativ mit den beteiligten Sprachen umgehen","","s6f",,
"6","Verfügen über sprachliche Mittel","""""Die sprachlichen Mittel – Wortschatz, Grammatik, Aussprache, Prosodie und Orthografie – sind Kompetenz bildende, funktionale Bestandteile des sprachlichen Systems und der Kommunikation. Die sprachlichen Mittel haben grundsätzlich dienende Funktion, wobei die gelingende Kommunikation im Vordergrund steht. Die Schülerinnen und Schüler greifen bei der Sprachrezeption und -produktion auf ein breites Repertoire lexikalischer, grammatischer, textueller und diskursiver Strukturen zurück, um die Fremdsprache auch als Arbeitssprache in der Auseinandersetzung mit komplexen Sachverhalten zu verwenden.\n\nDie Schülerinnen und Schüler können""""","e4x",,
"6.1","einen erweiterten allgemeinen und thematischen Wortschatz sowie einen Funktions- und Interpretationswortschatz nutzen","","e7y",,
"6.2","ihre lexikalischen Bestände kontextorientiert und vernetzt verwenden und dabei auch Wörter und Wendungen aus dem Bereich informeller mündlicher Sprachverwendung einsetzen","","x9c",,
"6.3","ein gefestigtes Repertoire der grundlegenden grammatischen Strukturen für die Realisierung ihrer Sprech- und Schreibabsichten nutzen","","p9r",,
"6.4","ein gefestigtes Repertoire typischer Aussprache- und Intonationsmuster verwenden und dabei eine meist klar verständliche Aussprache und angemessene Intonation zeigen","","r5y",,
"6.5","mit repräsentativen Varietäten der Standardsprache umgehen, wenn klar artikuliert gesprochen wird","","y4a",,
"6.6","ihre erweiterten Kenntnisse zu den Regelmäßigkeiten der Orthografie und Zeichensetzung nutzen und ihren aktiven Wortschatz weitgehend regelkonform verwenden","","a4g",,
"6.7","emotional markierte Sprache identifizieren und einschätzen und auf emotionale Äußerungen angemessen reagieren","","c7g",,
"6.8","(Englisch: rezeptiv) sich auf repräsentative Varietäten einstellen, auch wenn nicht durchgehend artikuliert gesprochen wird","","c7c",,